Annotation Name,Area (µm^2),Cell Count,Transcript Count
J1-CA-2_CA-1,47297.67,424,0
J1-CA-2_CA-2,37938.05,320,0
J1-CA-2_CA-3,46305.91,571,0
J1-CA-2_CA-4,34204.88,259,0
L1-TA-4_HGD-1,225146.10,1380,0
L1-TA-4_HGD-2,66107.21,667,0
Q1-TA-4_HGD-1,642928.33,6353,0
L1-TA-1_LGD-1,414872.00,4601,0
M1-TA-1_LGD-1,582730.84,6208,0

Annotation Name,Cell ID,Cluster ID,Total Transcripts,Cell Area
J1-CA-2_CA-1,dkhkandb-1,Cluster 12,0,31.43
J1-CA-2_CA-1,dkhkcahh-1,Cluster 12,0,71.80
J1-CA-2_CA-1,dkhpnjmf-1,Cluster 12,0,82.86
J1-CA-2_CA-1,dkhkenod-1,Cluster 5,0,135.78
J1-CA-2_CA-1,dkhojelj-1,Cluster 12,0,104.27
J1-CA-2_CA-1,dkiefpic-1,Cluster 5,0,66.33
J1-CA-2_CA-1,dkiiblid-1,Cluster 5,0,142.51
J1-CA-2_CA-1,dkhohdpo-1,Cluster 4,0,57.80
J1-CA-2_CA-1,dkhpcepb-1,Cluster 4,0,127.70
J1-CA-2_CA-1,mahpncoh-1,Cluster 4,0,307.56
J1-CA-2_CA-1,mahpnahi-1,Cluster 12,0,220.36
J1-CA-2_CA-1,dkihfamf-1,Cluster 12,0,112.35
J1-CA-2_CA-1,mahpncfk-1,Cluster 4,0,28.45
J1-CA-2_CA-1,dkiaddfm-1,Cluster 4,0,63.76
J1-CA-2_CA-1,dkhpngjp-1,Cluster 12,0,70.13
J1-CA-2_CA-1,maihclck-1,Cluster 12,0,71.80
J1-CA-2_CA-1,dkhkeale-1,Cluster 4,0,23.30
J1-CA-2_CA-1,dkhojiac-1,Cluster 12,0,110.23
J1-CA-2_CA-1,dkhpojmh-1,Cluster 12,0,138.67
J1-CA-2_CA-1,dkihpphp-1,Cluster 5,0,144.64
J1-CA-2_CA-1,dkhoiilp-1,Cluster 4,0,42.49
J1-CA-2_CA-1,mahlibea-1,Cluster 9,0,16.48
J1-CA-2_CA-1,mldmaepl-1,Cluster 24,0,24.25
J1-CA-2_CA-1,ohkmjphk-1,Cluster 22,0,49.13
J1-CA-2_CA-1,dkicmjpk-1,Cluster 12,0,187.26
J1-CA-2_CA-1,dkickgfb-1,Cluster 12,0,114.56
J1-CA-2_CA-1,dkickkog-1,Cluster 12,0,73.33
