Annotation Name,Area (µm^2),Cell Count,Transcript Count
Y2-TA-2_LGD-1,33992.65,429,0
Y2-TA-2_LGD-2,67313.05,573,0
T1-TA-1_LGD-1,240297.07,2028,0
Y1-TA-1_LGD-1,626162.13,6642,0
Y1-TA-2_LGD-1,24029.42,363,0
Y1-TA-2_LGD-2,12726.25,183,0
Y1-TA-2_LGD-3,16006.05,180,0
Y1-TA-2_LGD-4,10246.09,93,0
R1-CA-2_LGD-1,788938.79,6022,0

Annotation Name,Cell ID,Cluster ID,Total Transcripts,Cell Area
Y2-TA-2_LGD-1,jflnhokh-1,Cluster 17,0,65.52
Y2-TA-2_LGD-1,jfllkglj-1,Cluster 17,0,64.30
Y2-TA-2_LGD-1,jflkoijo-1,Cluster 17,0,25.11
Y2-TA-2_LGD-1,jflloenk-1,Cluster 3,0,13.82
Y2-TA-2_LGD-1,ahlhkhaj-1,Cluster 3,0,37.93
Y2-TA-2_LGD-1,jflnhjif-1,Cluster 3,0,12.33
Y2-TA-2_LGD-1,jfllpccg-1,Cluster 3,0,21.86
Y2-TA-2_LGD-1,jflldocc-1,Cluster 17,0,49.18
Y2-TA-2_LGD-1,jflngilp-1,Cluster 17,0,78.30
Y2-TA-2_LGD-1,jflobadh-1,Cluster 3,0,114.52
Y2-TA-2_LGD-1,jfkpodhb-1,Cluster 17,0,60.42
Y2-TA-2_LGD-1,jflmolpd-1,Cluster 3,0,47.73
Y2-TA-2_LGD-1,jfllhmbn-1,Cluster 3,0,12.06
Y2-TA-2_LGD-1,jflleoop-1,Cluster 6,0,25.24
Y2-TA-2_LGD-1,jfllkcbp-1,Cluster 17,0,43.53
Y2-TA-2_LGD-1,ahkflnjn-1,Cluster 21,0,76.81
Y2-TA-2_LGD-1,jfkojpdg-1,Cluster 1,0,48.86
Y2-TA-2_LGD-1,ahlhplme-1,Cluster 2,0,50.71
Y2-TA-2_LGD-1,jfjeaoog-1,Cluster 6,0,64.93
Y2-TA-2_LGD-1,jfmhgmce-1,Cluster 6,0,76.13
Y2-TA-2_LGD-1,jflojfjp-1,Cluster 10,0,146.04
Y2-TA-2_LGD-1,jfmhfpak-1,Cluster 6,0,43.85
Y2-TA-2_LGD-1,jflokdpm-1,Cluster 3,0,46.56
Y2-TA-2_LGD-1,jfmhgnag-1,Cluster 6,0,28.99
Y2-TA-2_LGD-1,jflokple-1,Cluster 17,0,50.94
Y2-TA-2_LGD-1,ahljfkjd-1,Cluster 2,0,73.65
Y2-TA-2_LGD-1,jfjbbaal-1,Cluster 17,0,76.54
Y2-TA-2_LGD-1,jfmdnnkm-1,Cluster 3,0,9.35
Y2-TA-2_LGD-1,jfmdgkdh-1,Cluster 6,0,183.88
Y2-TA-2_LGD-1,jfmenacb-1,Cluster 6,0,43.67
Y2-TA-2_LGD-1,ahliblia-1,Cluster 2,0,110.32
Y2-TA-2_LGD-1,jfmefpdo-1,Cluster 17,0,38.25
Y2-TA-2_LGD-1,jfmeljfh-1,Cluster 6,0,110.50
Y2-TA-2_LGD-1,jfmekcko-1,Cluster 17,0,25.06
Y2-TA-2_LGD-1,jfmealnk-1,Cluster 17,0,33.91
Y2-TA-2_LGD-1,jfmhdkee-1,Cluster 2,0,51.07
Y2-TA-2_LGD-1,jfmeghoa-1,Cluster 3,0,27.95
Y2-TA-2_LGD-1,ahljkmmb-1,Cluster 2,0,86.79
Y2-TA-2_LGD-1,ahljaipa-1,Cluster 2,0,96.72
Y2-TA-2_LGD-1,jfmdpkmf-1,Cluster 3,0,47.50
Y2-TA-2_LGD-1,jfmddbjc-1,Cluster 3,0,24.20
Y2-TA-2_LGD-1,jfmehloh-1,Cluster 17,0,31.02
Y2-TA-2_LGD-1,jfmdlcge-1,Cluster 3,0,44.48
Y2-TA-2_LGD-1,oehfomlb-1,Cluster 3,0,30.48
Y2-TA-2_LGD-1,jfmdgfmf-1,Cluster 1,0,24.97
Y2-TA-2_LGD-1,jfmdfmii-1,Cluster 12,0,30.03
Y2-TA-2_LGD-1,jfmfajmi-1,Cluster 2,0,52.20
Y2-TA-2_LGD-1,jflkikga-1,Cluster 17,0,19.37
Y2-TA-2_LGD-1,jfmdnkhm-1,Cluster 2,0,84.49
Y2-TA-2_LGD-1,ahljjjcf-1,Cluster 17,0,56.67
Y2-TA-2_LGD-1,jflkjfpm-1,Cluster 17,0,62.59
Y2-TA-2_LGD-1,jfmecoaj-1,Cluster 17,0,18.24
Y2-TA-2_LGD-1,jfmeephd-1,Cluster 17,0,23.26
Y2-TA-2_LGD-1,jfjdciib-1,Cluster 17,0,76.99
Y2-TA-2_LGD-1,jfjdahgm-1,Cluster 17,0,46.42
Y2-TA-2_LGD-1,jflppkkd-1,Cluster 5,0,132.26
Y2-TA-2_LGD-1,jfmajbfl-1,Cluster 6,0,86.34
Y2-TA-2_LGD-1,jfmadipj-1,Cluster 5,0,61.77
Y2-TA-2_LGD-1,jflpfkan-1,Cluster 3,0,14.95
Y2-TA-2_LGD-1,jflplahm-1,Cluster 6,0,66.42
Y2-TA-2_LGD-1,jflpmcic-1,Cluster 17,0,72.88
Y2-TA-2_LGD-1,jfmaeplc-1,Cluster 17,0,59.15
Y2-TA-2_LGD-1,jflpibif-1,Cluster 3,0,35.40
Y2-TA-2_LGD-1,jfmakfih-1,Cluster 16,0,69.63
Y2-TA-2_LGD-1,jflninhd-1,Cluster 12,0,30.53
Y2-TA-2_LGD-1,jfloaipo-1,Cluster 3,0,39.83
Y2-TA-2_LGD-1,jflpnpec-1,Cluster 3,0,37.12
Y2-TA-2_LGD-1,jflnijkp-1,Cluster 3,0,24.07
Y2-TA-2_LGD-1,ahkfcofh-1,Cluster 1,0,63.04
Y2-TA-2_LGD-1,jfmajbfn-1,Cluster 3,0,38.29
Y2-TA-2_LGD-1,jflpfojc-1,Cluster 3,0,28.76
Y2-TA-2_LGD-1,jflpfego-1,Cluster 3,0,31.34
Y2-TA-2_LGD-1,jflnfmaa-1,Cluster 3,0,54.41
Y2-TA-2_LGD-1,jflogjfg-1,Cluster 3,0,45.29
Y2-TA-2_LGD-1,jflogggc-1,Cluster 17,0,44.93
Y2-TA-2_LGD-1,jflodnge-1,Cluster 3,0,33.01
Y2-TA-2_LGD-1,jfmcclfd-1,Cluster 3,0,35.36
Y2-TA-2_LGD-1,jfjpmabb-1,Cluster 3,0,49.85
Y2-TA-2_LGD-1,jflnfenn-1,Cluster 3,0,70.13
Y2-TA-2_LGD-1,jfjcpadh-1,Cluster 6,0,127.39
Y2-TA-2_LGD-1,jflogdmh-1,Cluster 17,0,65.43
Y2-TA-2_LGD-1,jfjcpinf-1,Cluster 17,0,30.93
Y2-TA-2_LGD-1,jfmgfmja-1,Cluster 2,0,160.44
Y2-TA-2_LGD-1,jfjblbdl-1,Cluster 3,0,17.25
Y2-TA-2_LGD-1,jfmfoane-1,Cluster 17,0,71.48
Y2-TA-2_LGD-1,jfmgmjhg-1,Cluster 12,0,48.18
Y2-TA-2_LGD-1,jfmghfmd-1,Cluster 6,0,86.34
Y2-TA-2_LGD-1,jfmgimol-1,Cluster 3,0,33.14
Y2-TA-2_LGD-1,jfjdkiao-1,Cluster 3,0,15.13
Y2-TA-2_LGD-1,jfmhajaf-1,Cluster 3,0,17.39
Y2-TA-2_LGD-1,jfjbbhjb-1,Cluster 3,0,31.74
Y2-TA-2_LGD-1,jfjdnbca-1,Cluster 17,0,28.00
Y2-TA-2_LGD-1,jfjdmjhf-1,Cluster 17,0,25.33
Y2-TA-2_LGD-1,jfjdgfec-1,Cluster 17,0,42.58
Y2-TA-2_LGD-1,jfmhbfak-1,Cluster 3,0,64.80
Y2-TA-2_LGD-1,jfjbafil-1,Cluster 17,0,72.11
Y2-TA-2_LGD-1,jfmgdeco-1,Cluster 3,0,57.30
Y2-TA-2_LGD-1,jfmgenad-1,Cluster 3,0,95.87
Y2-TA-2_LGD-1,jfmhbkjo-1,Cluster 17,0,30.98
Y2-TA-2_LGD-1,jfjclbjo-1,Cluster 17,0,62.63
Y2-TA-2_LGD-1,ahkfmipc-1,Cluster 10,0,76.18
Y2-TA-2_LGD-1,jfmfpgem-1,Cluster 17,0,27.41
Y2-TA-2_LGD-1,jfmgnnib-1,Cluster 17,0,45.43
Y2-TA-2_LGD-1,jfmgpchh-1,Cluster 17,0,23.89
Y2-TA-2_LGD-1,jfmgcnco-1,Cluster 17,0,65.34
Y2-TA-2_LGD-1,jfjcoofj-1,Cluster 6,0,71.75
Y2-TA-2_LGD-1,jffkinbm-1,Cluster 2,0,25.87
Y2-TA-2_LGD-1,jffkdohd-1,Cluster 17,0,119.71
Y2-TA-2_LGD-1,jffkhjhe-1,Cluster 8,0,55.50
Y2-TA-2_LGD-1,jffkgkgm-1,Cluster 12,0,52.70
Y2-TA-2_LGD-1,ahllmokh-1,Cluster 1,0,52.70
