gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
SMC2,2.913937336057362e-14,1.3893311008109406,0.546,0.183,5.269855672259739e-10
WDR90,2.983101200900568e-14,1.3933781476160088,0.602,0.239,5.394938521828677e-10
AGR2,3.160587756935312e-14,0.747725408811498,0.87,0.583,5.715922958417512e-10
SPAG5,3.1950928778423085e-14,1.6649403283585311,0.495,0.15,5.778325469577815e-10
CXCL3,3.979032541066857e-14,1.6365398985567294,0.489,0.144,7.196080350519411e-10
NHP2,4.0453401429245056e-14,1.2229227514952543,0.664,0.311,7.315997648478968e-10
HSP90AA1,4.124005226511518e-14,0.6971205997808474,0.938,0.783,7.45826345214608e-10
PGD,4.4938583896878195e-14,0.9183073985524147,0.827,0.489,8.127142897750422e-10
BANF1,4.6537662558793523e-14,0.919835990832344,0.806,0.472,8.416336273757808e-10
KPNA2,4.9342949147037766e-14,1.4462851048681646,0.536,0.189,8.92367235324178e-10
HACD3,4.9812113809555115e-14,1.4013781379865589,0.526,0.167,9.008520782458043e-10
LDHB,5.921494562123461e-14,2.019781329378966,0.41,0.089,1.0709022915600279e-9
RRM2,5.956029320036912e-14,2.3717565212786726,0.357,0.056,1.0771479025286755e-9
ASPM,6.101382921317534e-14,2.4451127742794285,0.34,0.044,1.103435101320276e-9
QPCT,6.101574556584662e-14,1.935476866899674,0.4,0.078,1.1034697585583362e-9
CLUH,6.752610354771971e-14,0.8607150751863681,0.837,0.561,1.221209582660511e-9
SMAD6,6.880251282040664e-14,1.070992935180903,0.66,0.278,1.2442934443570542e-9
PUS7,6.886333537299308e-14,1.667806839173536,0.497,0.156,1.2453934202205798e-9
CCDC88B,8.103302504631862e-14,1.1023244250317554,0.825,0.489,1.4654822579626723e-9
NOA1,8.707954090195664e-14,1.2883652997464092,0.596,0.228,1.5748334972118857e-9
SLC39A8,8.809153727218376e-14,1.0088356984725901,0.705,0.361,1.5931354515674433e-9
HDGF,9.126400835567748e-14,0.7616248063244909,0.918,0.744,1.6505095911124272e-9
DKC1,9.628717698419857e-14,1.1640083821037832,0.629,0.256,1.7413535957592312e-9
PHB,1.0278614992276622e-13,0.9207642763360375,0.796,0.483,1.858887521353227e-9
WDR43,1.0786217986458308e-13,1.1323076598789386,0.625,0.244,1.9506875228509852e-9
C1QBP,1.1750953928388257e-13,1.5484436300677804,0.495,0.156,2.1251600179490162e-9
PGM2L1,1.1869811299701502e-13,1.183832659406451,0.654,0.283,2.146655373551017e-9
REXO2,1.2297382098358356e-13,0.8234327128266818,0.858,0.6,2.2239815524881085e-9
LSM5,1.2904516182873776e-13,1.0751972303325847,0.732,0.361,2.3337817516727225e-9
FANCA,1.4938893807231366e-13,1.678290333317098,0.48,0.144,2.7016989450377927e-9
HIST1H1E,1.5363033660626256e-13,1.1283490188585432,0.786,0.506,2.7784046375242586e-9
DTYMK,1.7754732719780695e-13,1.7481852118509527,0.476,0.156,3.210943412372339e-9
FHDC1,1.8282150135056554e-13,1.1307654055135958,0.664,0.311,3.306326851924978e-9
ASF1B,1.9717904902213197e-13,1.5834925178377885,0.518,0.183,3.5659831015652568e-9
DMAC1,1.976056981800083e-13,1.2952617628817347,0.592,0.233,3.57369905158545e-9
PDHA1,1.9974168504194888e-13,0.5888174641428665,0.957,0.817,3.6123283739836456e-9
ALDH1A1,2.007867974408886e-13,1.1225124100662667,0.742,0.428,3.63122923171847e-9
BIN1,2.2472647862918923e-13,1.0776716933387935,0.614,0.228,4.064178366008887e-9
WDR34,2.2588367010649506e-13,1.2297730426642786,0.652,0.294,4.0851061738759635e-9
PHKA1,2.2600376760448498e-13,2.0983068010609838,0.371,0.067,4.087278137127111e-9
PYCR1,2.4251425154662567e-13,1.4498625149453621,0.493,0.15,4.385870239220725e-9
PTGES2,2.446706927142161e-13,0.7510706006292677,0.897,0.672,4.424869477736598e-9
REPIN1,2.517811544441963e-13,0.8884311342179594,0.827,0.539,4.55346217812329e-9
NOB1,2.771265442478429e-13,1.0797739102362316,0.652,0.278,5.0118335527222385e-9
CPNE7,2.815598036091746e-13,1.9373900641345987,0.404,0.094,5.092009048271923e-9
LRP11,3.048235427167414e-13,1.3382237598209386,0.544,0.194,5.512733770032268e-9
TMEM147,3.232380526168057e-13,1.220542633730669,0.608,0.244,5.845760181574931e-9
HNRNPA0,3.3299506275047116e-13,0.6345797212265152,0.946,0.75,6.022215709842271e-9
ZBTB18,3.538513208075004e-13,1.2514016750788857,0.584,0.228,6.399401136803645e-9
ACTN1,3.6613656171317496e-13,0.8066658735203166,0.854,0.561,6.621579718582769e-9
CLDN2,3.6975616847222624e-13,2.480540895235481,0.334,0.05,6.687040306820212e-9
JPT2,3.985588157793425e-13,1.0882211654931349,0.705,0.367,7.207936183369409e-9
NOP14,4.866238041991908e-13,1.0485756870830119,0.713,0.378,8.800591498942366e-9
ANLN,4.888536188155278e-13,1.8643735825578847,0.425,0.111,8.84091769627882e-9
RUVBL1,4.96196050231083e-13,1.4848922554593547,0.491,0.15,8.973705568429135e-9
LARS2,5.079573762174057e-13,1.2894877744806352,0.575,0.233,9.186409148891782e-9
DUOX2,5.422026855815655e-13,0.9094822976636405,0.843,0.517,9.805735568742612e-9
CMSS1,5.441007030518392e-13,2.2163340154629285,0.365,0.072,9.840061214692513e-9
RARG,5.64575658595848e-13,1.922298179257615,0.384,0.083,1.0210350785705911e-8
SH3BP4,5.682194700010277e-13,1.0916311234846046,0.625,0.261,1.0276249114968586e-8
TBRG4,6.070976124901436e-13,0.818308906679145,0.827,0.567,1.0979360321884249e-8
METTL26,6.194424401028481e-13,0.950495759864839,0.775,0.478,1.1202616529260008e-8
FBP1,6.533085840116998e-13,1.0512347485864597,0.666,0.311,1.181508574185159e-8
LMNB2,6.54620402013917e-13,1.030024412222671,0.775,0.483,1.1838809970421689e-8
GPI,6.634223909267705e-13,1.1882929645582363,0.577,0.211,1.1997993939910643e-8
SSX2IP,6.837591599328307e-13,2.8690157231478874,0.291,0.028,1.2365784407385243e-8
STAMBPL1,7.103301033831829e-13,0.8814630490992119,0.773,0.444,1.2846319919684863e-8
NIPSNAP2,7.3932323587013e-13,1.0279858385890737,0.685,0.339,1.3370660720711301e-8
KIF11,8.150185840314845e-13,2.268816725641661,0.353,0.067,1.4739611092209396e-8
SMC4,8.469600764862234e-13,0.951351612986052,0.79,0.511,1.531727298325335e-8
SMAD9,8.930474318529726e-13,1.8810513435656024,0.41,0.106,1.615076280506101e-8
FAM111B,9.436255117971266e-13,1.981242510606184,0.386,0.089,1.7065467380851035e-8
PDCD11,9.711961460150331e-13,1.2599869429188697,0.559,0.211,1.7564082300681874e-8
GINS2,1.030520455520246e-12,2.578677566107088,0.324,0.05,1.8636962438083648e-8
CDCA8,1.1347434571636988e-12,1.7231914284615815,0.443,0.133,2.0521835422805492e-8
SLC29A2,1.1743026209542944e-12,1.613797857744005,0.441,0.122,2.1237262899958416e-8
ANKRD22,1.1853494622859752e-12,1.3708501327614577,0.526,0.194,2.1437045025441862e-8
SERPINB5,1.2309305740117413e-12,2.4238892578311915,0.355,0.072,2.226137943100234e-8
LGR5,1.3138486181126999e-12,2.199108398669972,0.419,0.122,2.3760952258568177e-8
BCCIP,1.3373849567282083e-12,1.3906879069780294,0.499,0.167,2.4186606942429646e-8
ADAT2,1.4038262921442356e-12,1.0701954136791978,0.61,0.25,2.53881984934285e-8
NEBL,1.4166654476327867e-12,1.6565992123300965,0.41,0.1,2.5620394620438945e-8
CDCA3,1.4809679027548011e-12,1.8763284305146821,0.371,0.078,2.678330452132058e-8
NDC80,1.493283950781019e-12,1.8987876821967204,0.388,0.089,2.700604024987473e-8
RRP9,1.5149876144761313e-12,1.5140803694664515,0.439,0.122,2.7398551007800834e-8
VARS,1.5290072763565215e-12,0.8623023469494344,0.753,0.433,2.765209659290769e-8
PRPF40A,1.5551254608237523e-12,0.5898647680445026,0.918,0.761,2.812444395899756e-8
CDC6,1.5585750043223898e-12,1.9747770042564075,0.34,0.056,2.818682895317042e-8
MSLN,1.5760360956407715e-12,2.488584727308701,0.381,0.094,2.8502612789663352e-8
RRM1,1.5921697433921048e-12,1.4521975576768775,0.509,0.183,2.8794389809246213e-8
KNTC1,1.6557032498684986e-12,1.6207544155874847,0.427,0.122,2.99433932738718e-8
HDAC2,1.7367915260003437e-12,1.0478316347157968,0.67,0.317,3.140987474771622e-8
SLC25A6,1.7420148110228036e-12,0.6358795301215405,0.965,0.8,3.15043378573474e-8
KIF5B,1.759171847050172e-12,0.6192107628964592,0.948,0.844,3.181462285390236e-8
KNSTRN,1.8789566563150615e-12,1.9442626743839955,0.375,0.083,3.398093112945789e-8
LIG1,1.8913037443366134e-12,1.2264194256975742,0.588,0.256,3.4204228216327655e-8
KLK11,1.9357602146723503e-12,2.7164488267360754,0.318,0.05,3.5008223482349456e-8
KCNE3,2.2122438646843058e-12,1.1889411876908356,0.631,0.272,4.000843029281567e-8
TSPO,2.2594609477215806e-12,0.586642610708626,0.955,0.811,4.0862351239544784e-8
