p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,delta_pct
1.3288673480971162e-33,0.18512468856942466,0.85,0.769,2.4032565990336346e-29,0,APP,0.08099999999999996
3.042900614540573e-33,0.3159896050510831,0.606,0.582,5.503085761396626e-29,0,ARPIN,0.02400000000000002
4.3754917626858854e-33,0.5393561182897632,0.439,0.401,7.913076852817424e-29,0,SLC5A1,0.03799999999999998
5.280491634576099e-33,0.3031678459458631,0.601,0.579,9.549769121130875e-29,0,TACC1,0.02200000000000002
5.366478038461285e-33,0.23667246683518917,0.648,0.591,9.705275532557234e-29,0,ZNF703,0.05700000000000005
5.668142197576697e-33,0.3482763620669138,0.571,0.529,1.0250835164317457e-28,0,TGIF1,0.041999999999999926
1.713355735277824e-32,0.552811558961803,0.509,0.472,3.0986038472499447e-28,0,SNORC,0.03700000000000003
1.923948529466967e-32,0.36669132214736533,0.512,0.461,3.47946091554101e-28,0,RNF43,0.05099999999999999
1.958698588311541e-32,0.3592056721979,0.595,0.571,3.542306396961422e-28,0,TEN1,0.02400000000000002
5.061445520328957e-32,0.33347914704942805,0.617,0.594,9.153624223514918e-28,0,PMM1,0.02300000000000002
5.897524934123709e-32,0.31203971342954295,0.625,0.6,1.0665673843362727e-27,0,AFDN,0.025000000000000022
5.956891005901245e-32,0.3424133120498014,0.581,0.555,1.07730373841724e-27,0,HES1,0.025999999999999912
7.16808471023568e-32,0.25710638593162627,0.696,0.661,1.2963481198461228e-27,0,APOBR,0.03499999999999992
7.462139220311537e-32,0.2594944403716841,0.635,0.602,1.3495278779933415e-27,0,ATP5MC2,0.03300000000000003
7.737409260828661e-32,0.2905329424247085,0.61,0.577,1.3993104648208634e-27,0,NELFCD,0.03300000000000003
8.582970293735343e-32,0.19691795059109118,0.725,0.664,1.5522301776220367e-27,0,SERPINB1,0.06099999999999994
9.340527107851973e-32,0.23773445833081408,0.647,0.632,1.6892343274550295e-27,0,LENG8,0.015000000000000013
1.2310426875235592e-31,0.3333619155702665,0.625,0.599,2.226340700386357e-27,0,PIM3,0.026000000000000023
1.9257212659921658e-31,0.3688562727204191,0.516,0.47,3.482666909546832e-27,0,EPHB2,0.04600000000000004
2.3634595636564707e-31,0.4215187973762349,0.484,0.443,4.274316620872727e-27,0,RCN3,0.04099999999999998
2.668121467606679e-31,0.2256561464796183,0.665,0.621,4.8252976741666784e-27,0,RACK1,0.04400000000000004
3.097047531157224e-31,0.5433587134203104,0.279,0.227,5.60101046009784e-27,0,HOXB13,0.05200000000000002
7.8737766657517475e-31,0.3767813923597032,0.552,0.532,1.4239725100012036e-26,0,ANKZF1,0.020000000000000018
8.168421855651823e-31,0.2768027174517316,0.711,0.674,1.4772590925946324e-26,0,EPN1,0.03699999999999992
8.340748710849454e-31,0.35331857234968056,0.616,0.59,1.5084244043571237e-26,0,VPS13A,0.026000000000000023
1.6603120262856893e-30,0.2284597097671588,0.565,0.507,3.002674299537669e-26,0,REG4,0.05799999999999994
1.9239461677273178e-30,0.21200570017722953,0.787,0.703,3.4794566443348544e-26,0,CDX2,0.08400000000000007
1.957309514963579e-30,0.15924139220906675,0.881,0.784,3.539794257811633e-26,0,GSTP1,0.09699999999999998
2.563791042470522e-30,0.2711150669538078,0.687,0.658,4.6366161003079386e-26,0,TP53I3,0.029000000000000026
2.9834255468375154e-30,0.30500967331735906,0.626,0.598,5.395525101455647e-26,0,C9orf16,0.028000000000000025
3.547275717154718e-30,0.32707580492058475,0.569,0.544,6.415248134474307e-26,0,TRIM2,0.02499999999999991
3.6719086276385254e-30,0.7210106401107259,0.121,0.079,6.640646753084273e-26,0,NKX2-2,0.041999999999999996
4.923142927292408e-30,0.37217632479990526,0.539,0.522,8.90350398400832e-26,0,SRC,0.017000000000000015
8.602215434678523e-30,0.3478686668169825,0.574,0.555,1.5557106613616108e-25,0,POGZ,0.018999999999999906
1.4710987304795357e-29,0.29633022370990725,0.622,0.604,2.66048205407224e-25,0,PLEKHA6,0.018000000000000016
1.699437777935095e-29,0.5275738070674116,0.448,0.429,3.073433221395619e-25,0,MLLT3,0.019000000000000017
1.9289327884928694e-29,0.19715231073924233,0.612,0.56,3.488474947989354e-25,0,MYC,0.051999999999999935
2.2142982681483232e-29,0.24315897529896413,0.521,0.447,4.0045584179462424e-25,0,ASCL2,0.07400000000000001
7.25891059837003e-29,0.6124311177858991,0.426,0.404,1.3127739817152199e-24,0,GNE,0.021999999999999964
1.244954881463932e-28,0.517399340494906,0.415,0.382,2.2515009031275212e-24,0,KCNE3,0.032999999999999974
2.2623398703159014e-28,0.2973804130836559,0.605,0.586,4.091441655466308e-24,0,CDKN1B,0.019000000000000017
