gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
C18orf54,0.0030908777274863374,0.38701479910196435,0.227,0.111,1
UGGT2,0.0031593774879206285,0.3814471764492706,0.443,0.267,1
S100A9,0.0032648649332122155,0.2884181727862467,0.264,0.139,1
MELTF,0.0034705565510987487,0.304154680251028,0.377,0.228,1
CHSY1,0.00354897743369827,0.24544887318902997,0.536,0.35,1
NAMPT,0.0035969032383375535,0.3982221843758855,0.449,0.283,1
C1RL,0.0036243298700469723,0.21285693921285442,0.633,0.422,1
MAP3K9,0.0036502238043090427,0.3524615076175843,0.2,0.094,1
AGR3,0.0036891582243975584,0.3102053745178332,0.637,0.439,1
C4BPB,0.003815800451626587,0.5789319947850848,0.324,0.194,1
ADAM10,0.004001716931433885,0.2131856289699251,0.561,0.367,1
CALR,0.004045455036417958,0.34342047954890964,0.645,0.483,1
ANG,0.0041737230491437835,0.30082031312400725,0.46,0.289,1
ENTPD6,0.00426983828760127,0.2670015423762151,0.876,0.767,1
HSPA5,0.004343812695113102,0.339373771671839,0.518,0.333,1
ADGRE5,0.004368251029764072,0.2602633386533052,0.757,0.544,1
THBS3,0.004425750899618296,0.22541923326305113,0.441,0.278,1
SPTY2D1OS,0.004511357553389896,0.4263849941559821,0.198,0.094,1
SIL1,0.0045994564242529965,0.31518215296324814,0.509,0.333,1
TINAGL1,0.004701608836735747,0.20598654249392712,0.841,0.667,1
ALDH9A1,0.004908949411706629,0.20367083171779948,0.757,0.567,1
NAGLU,0.005223939202972015,0.28065576969843276,0.503,0.322,1
MST1,0.005460622739002229,0.33844338530252305,0.235,0.122,1
PKD1,0.0055848715881051305,0.39086419565709085,0.357,0.217,1
ITFG1,0.005607899441532062,0.2647831662745562,0.726,0.55,1
SEMA3C,0.0056523245768125095,0.21939743525346037,0.724,0.522,1
GHDC,0.005799097294589728,0.2667280579494654,0.489,0.317,1
PRCP,0.006089809405161413,0.42462095671935796,0.26,0.144,1
ERP44,0.006425472794434313,0.2598104488077718,0.59,0.406,1
RDH11,0.006653230200651362,0.2757979730772089,0.4,0.244,1
LAMB1,0.007429710286377976,0.21892922386735914,0.825,0.656,1
CKLF,0.007616005161292602,0.20259873873009976,0.769,0.589,1
H6PD,0.00800957209405515,0.306076005995799,0.338,0.2,1
RNPEP,0.008167181228192193,0.2430029879935196,0.654,0.444,1
DNAJB11,0.00890579701767522,0.20241856571738423,0.738,0.556,1
JMJD8,0.009022197059461714,0.28456742613677477,0.431,0.267,1
PDIA5,0.009558110508448053,0.27559677642705194,0.623,0.439,1
METTL9,0.009596996272382018,0.2781483615324452,0.738,0.594,1
ABHD15,0.00976942064285353,0.28722023416294795,0.412,0.261,1
